法律名称,法条内容
天津市防震减灾条例(2020修正),"第四十五条 制造地震谣言，扰乱社会正常秩序的，依法给予治安管理处罚；构成犯罪的，依法追究刑事责任。
"
汕头经济特区文明行为促进条例,"第十一条 在特区居住、工作、生活、学习、旅游及从事其他活动的个人，应当遵守文明行为规范和文明行为公约、守则，在行使个人的权利和自由时，不得损害他人的合法权利和自由。… （六）维护网络文明，文明互动，理性表达，尊重他人权利，拒绝网络暴力，抵制网络谣言和不良信息，不造谣、不信谣、不传谣；…
"
芜湖市文明行为促进条例,"第九条 倡导下列文明行为：
 （一）遵守礼仪，言行举止文明；
 （二）文明出行，安全礼让；
 （三）文明旅游，注重自身形象；
 （四）文明经商，诚实守信；
 （五）文明上网，抵制谣言和不良信息；
 （六）文明用餐，拒绝浪费；
 （七）文明就医，建立和谐医患关系；
 （八）文明祭祀，厚养薄葬；
 （九）文明节庆，破除陋习；
 （十）其他应当倡导的文明行为。"
镇江市文明行为促进条例,"第三十条 公安机关应当会同有关部门完善道路监控系统，保持道路交通安全设施完好，加强交通管理和文明出行宣传，及时制止交通不文明行为，依法查处交通违法行为。 公安机关应当依法查处网络传播中散布、传播谣言等违法行为。
"
河南省文明行为促进条例,"第十九条 公民应当文明使用网络，自觉遵守下列规定：
 （一）文明上网，诚信用网，理性表达，远离不良网站，维护网络安全和秩序；
 （二）抵制网络谣言和不良信息，不编造、发布、传播虚假、低俗、淫秽、暴力信息；
 （三）不泄露他人隐私；
 （四）不以发帖、跟帖、评论、人肉搜索、智能换脸、智能变声等任何方式侮辱、诽谤他人；
 （五）法律、法规的其他规定。"
德阳市文明行为促进条例,"第二十一条 在维护网络文明方面，应当遵守下列行为规范：
 （一）保障和引导未成年人安全、合理使用网络；
 （二）尊重他人权利，拒绝网络暴力；
 （三）抵制网络谣言和不良信息，不造谣、不信谣、不传谣；
 （四）文明互动，理性表达；
 （五）其他维护网络文明的行为规范。"
萍乡市文明行为促进条例,"第十五条 在维护网络文明方面，应当遵守下列文明行为规范：
 （一）自觉维护网络安全和秩序，文明上网，诚信用网，理性表达，有序参与；
 （二）自觉抵制网络谣言和不良信息，不编造、发布和传播虚假、低俗、淫秽、暴力信息；
 （三）不泄露他人隐私和个人信息；
 （四）其他维护网络文明的行为规范。"
河北省防震减灾条例(2020修正),"第十九条 任何单位和个人不得制造、传播地震谣言。对扰乱社会秩序的地震谣言、误传，县级以上人民政府应当迅速采取措施予以澄清。
"
青海省儿童计划免疫条例(2020修正),"第二十八条 制造、散布谣言或者以其他方式煽动群众对抗开展儿童计划免疫的，由公安机关依照《中华人民共和国治安管理处罚法》的有关规定予以处罚；构成犯罪的，由司法机关依法追究刑事责任。
"
青海省防震减灾条例(2020修正),"第二十五条 任何单位和个人不得制造、散布地震谣言。 对扰乱社会秩序的地震谣言，县级以上地震工作主管部门应当会同公安、新闻出版和广播电视等部门迅速采取措施，予以澄清，及时向社会发布相关信息。
"
山东省学前教育条例,"第六十六条 发生儿童安全等事故，儿童父母或者其他监护人以及其他有关人员应当配合事故处置和调查处理，并不得有下列行为：
 （一）侮辱、威胁、恐吓、故意伤害儿童、教师与其他工作人员、事故调查处理人员，或者限制其人身自由；
 （二）围堵幼儿园，扰乱正常保育教育秩序；
 （三）侵占、损毁幼儿园设施、设备；
 （四）携带危险物品和管制刀具、器械进入幼儿园；
 （五）制造、散布谣言；
 （六）其他违法行为。
 发生前款行为，幼儿园应当立即向所在地公安机关报案；涉嫌违法犯罪的，公安机关应当依法及时采取措施予以处置，维护幼儿园秩序。"
青海省儿童计划免疫条例(2019修正),"第二十八条 制造、散布谣言或者以其他方式煽动群众对抗开展儿童计划免疫的，由公安机关依照《中华人民共和国治安管理处罚法》的有关规定予以处罚；构成犯罪的，由司法机关依法追究刑事责任。
"
陕西省防震减灾条例(2019修正),"第二十八条 除发表本人或者本单位关于长期、中期地震活动趋势的研究成果，或者进行相关学术交流外，任何单位和个人不得向社会散布地震预测意见、地震预报意见及其评审结果。
 新闻媒体刊登、播发地震预报消息，应当以人民政府发布的地震预报为准。
 任何单位和个人不得制造、散布地震谣言。对扰乱社会秩序的地震谣传、误传，县级以上人民政府应当采取措施，迅速予以澄清。"
深圳经济特区科学技术普及条例,"第三十条 市场监督管理部门应当建立和完善食品安全突发事件应急科普机制，普及食品安全知识，及时澄清有关食品安全的伪科学谣言，倡导健康饮食方式，增强消费者食品安全意识和自我保护能力。
"
营口市文明行为促进条例,"第十五条 公民应当自觉遵守互联网管理规定，树立网络文明新风，不得有下列行为：
 （一）发布侮辱、谩骂、诽谤他人的信息及言论；
 （二）编造、传播虚假信息和谣言；
 （三）捏造事实，发布、传播破坏国家、地区形象，危害社会发展稳定的信息及言论；
 （四）擅自发布、传播自然灾害、重大疫情事故、突发性群体事件、社会敏感信息及言论，影响社会和谐稳定；
 （五）发布和传播违背公序良俗的信息。"
辽宁省电信管理条例(2019修正),"第十九条 互联网上网服务营业场所经营者和上网用户不得利用互联网上网服务营业场所制作、复制、查阅、发布、传播危害国家安全，损害国家利益和荣誉，破坏民族团结和国家宗教政策，宣扬邪教和迷信，散布谣言，破坏社会稳定，散布淫秽、色情、赌博、暴力、凶杀、恐怖或者教唆犯罪，侮辱或者诽谤他人以及其他法律法规禁止的信息。
"
山西省防震减灾条例(2019修正),"第五十一条 有下列行为之一，依照《中华人民共和国治安管理处罚条例》处罚；构成犯罪的，依法追究刑事责任：
 （一）散布地震谣言，扰乱社会秩序的；
 （二）阻碍抗震救灾人员执行职务的；
 （三）哄抢公私财物的；
 （四）盗窃、贪污、挪用救灾资金或物资的；
 （五）损毁生命线工程或次生灾害源防护设施的。"
天津市文明行为促进条例,"第二十六条 使用互联网应当遵守网络信息管理的法律法规和规定，维护网络安全和秩序，抵制网络谣言和不良信息。
"
山西省哲学社会科学普及条例,"第十七条 哲学社会科学普及应当坚持科学精神，反对和抵制伪科学、迷信和邪教学说。
 任何组织和个人不得以哲学社会科学普及的名义从事下列活动：
 （一）散布谣言；
 （二）组织、教唆、胁迫、诱骗、煽动他人从事邪教、会道门、迷信活动；
 （三）编造、传播淫秽、暴力、恐怖等扰乱社会秩序的信息；
 （四）危害国家安全、荣誉和利益，破坏民族团结，损害社会公共利益或者他人合法权益的活动；
 （五）法律、法规禁止的其他活动。"
黑龙江省优化营商环境条例,"第三十二条 县级以上人民政府和有关部门应当落实监管责任，根据职责权限和分工查处下列违法行为：
 （一）制售假冒伪劣商品等侵害用户和消费者利益、危害市场秩序的；
 （二）偷税、逃税、骗税、抗税、骗汇、非法集资等危害金融税收秩序的；
 （三）在工程建设中弄虚作假，转包、违法分包等危害建筑市场秩序的；
 （四）侵害专利权、商标权、版权等知识产权的；
 （五）采取恶意散布谣言中伤对手等不正当竞争或者垄断等行为危害市场秩序的；
 （六）其他侵害市场主体合法权益、危害市场秩序的。"
呼和浩特市文明行为促进条例,"第八条 维护公共秩序，遵守下列规定：…抵制网络谣言和不良信息，不造谣、不信谣、不传谣；…
"
宜春市文明行为促进条例,"第九条 倡导下列文明行为：… （十一）维护网络文明，拒绝网络暴力，抵制网络谣言和不良信息，不造谣、不信谣、不传谣；…
"
辽源市文明行为促进条例,"第七条 公民应当遵守公共秩序文明行为规范：… （八）文明上网，理性表达，尊重他人权利，拒绝网络暴力、网络赌博、网络色情，抵制网络谣言和不良信息，不造谣、不信谣、不传谣。
"
天津市网络虚假信息治理若干规定,"第七条 任何个人和组织使用网络应当遵守宪法和法律，遵守公共秩序，尊重社会公德，不得危害网络安全，不得利用网络从事危害国家安全、荣誉和利益，煽动颠覆国家政权、推翻社会主义制度，煽动分裂国家、破坏国家统一，宣扬恐怖主义、极端主义，宣扬民族仇恨、民族歧视，传播暴力、淫秽色情信息等活动。 个人和组织不得利用网络制作、复制、发布和传播含有捏造或者歪曲事实、散布谣言，扰乱社会秩序和经济秩序等内容的违法信息，以及含有侮辱或者诽谤他人，侵害他人名誉权、隐私权、知识产权和其他合法权益等内容的违法信息。
"
许昌市文明行为促进条例,"第十四条 公民应当文明上网、理性表达，积极传播正能量，自觉维护网络安全和秩序，抵制网络谣言和不良信息，不得散布他人隐私，不得利用网络从事侵害他人名誉的活动。
"
三门峡市文明行为促进条例,"第十四条 公民应当文明使用互联网，自觉遵守下列规定：
 （一）抵制网络谣言和不良信息；
 （二）不得编造、发布和传播虚假、低俗、暴力、淫秽等信息；
 （三）不得通过发帖、评论等方式攻击、谩骂他人；
 （四）法律、法规的其他规定。"
信阳市文明行为促进条例,"第十四条 公民应当文明上网，遵守以下规定：
 （一）恪守网络道德，理性表达，有序参与；
 （二）不捏造或者歪曲事实、散布谣言，扰乱经济秩序和社会秩序；
 （三）不在网络上散布淫秽、色情、赌博、暴力等有害信息，不浏览不健康的网站网页；
 （四）不以发帖、跟帖、评论、人肉搜索等方式侮辱、诽谤他人；
 （五）不泄露他人隐私或者个人信息；
 （六）法律、法规规定的其他行为。"
清远市文明行为促进条例,"第六条 公民应当自觉遵守下列文明行为规范：… （八）拒绝网络暴力，自觉抵制网络谣言和不良信息，不造谣、不信谣、不传谣，自觉维护网络安全和网络秩序；…
"
亳州市文明行为促进条例,"第九条 在维护公共秩序方面，应当遵守下列行为规范：
 （一）言行举止文明，不大声喧哗，不在公共座椅上躺卧；
 （二）等候服务依次排队，有序礼让；
 （三）在营销宣传、装饰装修、办理喜事丧事、娱乐健身等活动时，合理使用场地、设施、设备，不影响他人工作、学习和生活；
 （四）在公共场所和公共交通工具内控制手机、音响及其他电子设备音量；
 （五）文明上网，理性表达，拒绝网络暴力，抵制网络谣言和不良信息，不信谣、不传谣；
 （六）文明旅游，尊重当地风俗习惯，保护生态环境、文物古迹和风景名胜等旅游资源；
 （七）文明就医，尊重医护人员，遵守各项诊疗服务制度，通过合法途径解决医疗纠纷；
 （八）其他维护公共秩序的文明行为规范。"
贵州省学校学生人身伤害事故预防与处理条例(2020修正),"第二十九条 在学生人身伤害事故处理过程中，禁止下列行为：
 （一）毁灭证据、破坏现场、隐瞒真相、阻扰事故调查处理的；
 （二）寻衅滋事，侮辱、威胁、恐吓、故意伤害当事人、教职工、学生或者非法限制教职工、学生人身自由的；
 （三）围堵学校或者进入学校聚众闹事的；
 （四）侵占、破坏学校房屋、设施、设备的；
 （五）携带易燃易爆危险物品和管制器具进入学校的；
 （六）制造谣言、混淆视听等其他扰乱学校正常秩序的行为。"
衢州市文明行为促进条例,"第二十条 使用互联网应当遵守网络行为规范，维护网络安全和网络秩序，尊重他人隐私和人格，不制作、发布、传播网络谣言。
"
广东省学校安全条例,"第六十五条 学校安全事故发生后，任何单位和个人不得有下列影响学校正常教育教学秩序的行为：
 （一）毁灭证据、破坏现场、隐瞒真相等阻扰学校安全事故调查处理；
 （二）跟踪、纠缠、侮辱、威胁、恐吓、故意伤害学校相关人员、学生，或者非法限制其人身自由；
 （三）侵占、毁损学校房屋、设施、设备以及其他财物；
 （四）在学校或者校园周边安全区域内非法聚集、游行、设置障碍、贴报喷字、拉挂横幅、燃放鞭炮、播放哀乐、摆放花圈、停放尸体、泼洒污物、断水断电、堵塞大门、围堵办公场所和道路、干扰应急处置和事故处理；
 （五）制造、散布与学校安全事故实际情况不符的谣言；
 （六）其他扰乱学校教育教学秩序的行为。
 前款规定行为经劝阻无效的，学校应当立即向公安机关报案并保护现场，配合公安机关调查取证。公安机关接到学校报案后，应当依法及时处理。"
北京市文明行为促进条例,"第二十二条 在维护网络文明方面，应当遵守下列文明行为规范：
 （一）文明互动，理性表达；
 （二）尊重他人权利，拒绝网络暴力；
 （三）抵制网络谣言和不良信息，不造谣、不信谣、不传谣；
 （四）其他维护网络文明的行为规范。"
吐鲁番市文明行为促进条例,"第十五条 公民应当自觉抵御网络谣言和不良信息，维护网络秩序和安全，不得在互联网、手机等媒介上编造、发布和传播虚假、低俗淫秽以及损害他人合法权益的信息。
"
白城市文明行为促进条例,"第十七条 公民应当自觉遵守下列公共秩序文明行为规范：… （十）文明上网，自觉抵制网络谣言。
"
菏泽市文明行为促进条例,"第十一条 倡导下列行为：
 （一）言行文明，衣着得体，举止端庄；
 （二）节约资源，低碳生活，绿色消费；
 （三）移风易俗，喜事简办，厚养薄葬；
 （四）诚信经营，公平竞争，文明服务；
 （五）尊老爱幼，邻里和谐，涵养家风；
 （六）维护先烈，尊崇英模，传承精神；
 （七）崇尚科学，尊师重教，家校共育；
 （八）文明就医，恪守医德，医患和谐；
 （九）文明用餐，适量点餐，杜绝浪费；
 （十）文明上网，远离谣言，弘扬正气；
 （十一）文明出行，自觉排队，礼让他人；
 （十二）文明旅游，尊重习俗，爱护文物；
 （十三）文明施工，按章操作，规范管理；
 （十四）文明如厕，及时清洁，保持卫生；
 （十五）其他有益于自然、社会、家庭和谐的行为。"
扬州市文明行为促进条例,"第十五条 倡导文明上网。提倡积极健康的网络文化，自觉抵制网络谣言；自觉维护网络安全和网络秩序。
"
商丘市文明行为促进条例,"第二十三条 公民应当文明上网，遵守互联网传播秩序，理性表达，传播正能量，自觉抵制网络谣言和不良信息。
"
大连市文明行为促进条例,"第十五条 公民应当遵守网络信息管理的法律法规，自觉维护网络安全和秩序。不浏览、转发、转载违法和庸俗信息，抵制网络谣言和不良信息。
"
曲靖市文明行为促进条例,"第十一条 公民应当践行社会主义核心价值观，弘扬中华民族传统美德，加强社会公德、职业道德、家庭美德、个人品德修养，遵守下列文明行为规范：… （九）维护网络安全和秩序，自觉抵制网络谣言、网络暴力和不良信息；…
"
温州市文明行为促进条例,"第六条 公民应当践行社会主义核心价值观，爱国敬业，遵纪守法，明理善德，弘扬传统美德、社会公德、家庭美德，提升个人品德，倡导下列行为：… （十三）文明上网，保护隐私，谣言不传，妄语不言；…
"
新疆维吾尔自治区邮政条例(2018修订),"第四十三条 任何单位和个人不得利用邮件、快件寄递含有下列内容的物品：
 （一）煽动颠覆国家政权、推翻社会主义制度或者分裂国家、破坏国家统一，危害国家安全的；
 （二）泄露国家秘密的；
 （三）散布谣言扰乱社会秩序，破坏社会稳定的；
 （四）煽动民族仇恨、民族歧视，破坏民族团结的；
 （五）宣扬邪教或者迷信的；
 （六）散布淫秽、赌博、恐怖信息或者教唆犯罪的；
 （七）法律、法规禁止的其他内容。"
山东省学校安全条例,"第五十一条 发生学校安全事故，学生家长、学生以及其他人员不得有下列干扰事故处置和调查处理的行为：
 （一）侮辱、威胁、恐吓、故意伤害学生、教师以及其他职工、事故调查处理人员或者限制其人身自由；
 （二）围堵学校扰乱学校教育教学秩序；
 （三）侵占、损毁学校设施、设备；
 （四）携带危险物品和管制刀具进入学校；
 （五）制造、散布谣言；
 （六）其他违法行为。
 发生前款行为，涉嫌违法犯罪的，学校应当立即向所在地公安机关报案；公安机关应当依法及时采取措施，予以处置，维护教育教学秩序。"
云南省防震减灾条例(2018修正),"第五十六条 违反本条例规定，制造、传播地震谣言，扰乱社会正常秩序，违反治安管理相关规定的，依法给予治安管理处罚。
"
南昌市文明行为促进条例,"第十二条 倡导下列文明行为：… （十三）文明上网，树立网络道德意识，自觉抵御网络谣言，不浏览不良信息，不破坏网络秩序，不沉溺虚拟时空；…
"
克拉玛依市大风灾害防御条例,"第二十二条 市、区人民政府及有关部门在收到大风警报和大风灾害预警信号后，应当及时启动相应级别的应急预案，进入紧急响应状态，向社会公布应急处置措施。 对市、区人民政府及有关部门采取的应急处置措施，任何单位和个人应当配合实施，不得妨碍大风灾害防御活动，不得制造、传播谣言。
"
江西省防震减灾条例(2018修正),"第十八条 省人民政府应当依照国家发布地震预报的规定，统一向社会及时发布地震预报。新闻媒体刊登或者播发地震预报消息，应当以国务院、省人民政府发布的地震预报为准。 任何单位和个人不得散布有关地震的谣言。对造成或者可能造成社会秩序混乱的有关地震谣言，县级以上人民政府应当迅速采取有效措施及时予以澄清，消除影响。
"
江西省实施《中华人民共和国防洪法》办法(2018修正),"第五十三条 有下列行为之一，构成犯罪的，依法追究刑事责任；尚不构成犯罪，应当给予治安管理处罚的，依照《中华人民共和国治安管理处罚法》的规定处罚：
 （一）阻碍、威胁防汛指挥机构、水行政主管部门工作人员依法执行职务的；
 （二）谎报洪水险情，故意散布谣言，扰乱社会秩序的。"
淮安市文明行为促进条例,"第二十一条 公民应当文明使用互联网，主动抵制网络谣言，不编造、发布和传播虚假、恐怖、暴力、低俗和损害他人合法权益的信息，不参与涉及色情、赌博、暴力的网络游戏。
"
黑龙江省防震减灾条例(2018修正),"第十六条 地震预报意见实行统一发布制度，全省范围内的地震长期、中期、短期预报意见和临震预报意见，由省人民政府根据国家有关规定发布。 任何单位和个人不得散布地震谣言。新闻媒体刊登、播报地震预报消息，应当以国务院或者省人民政府发布的地震预报意见为准。对扰乱社会秩序的地震谣传、误传，县级以上人民政府应当立即采取有效措施予以澄清和制止。
"
新疆维吾尔自治区防范和惩治网络传播虚假信息条例,"第十条 信息网络服务提供者应在信息网络使用者发表跟帖留言的页面刊登跟帖服务协议，明示跟帖中不得贴发散布谣言，扰乱社会秩序，破坏社会稳定的内容或者法律法规禁止内容的信息。
"
辽宁省电信管理条例(2016修正),"第二十条 互联网上网服务营业场所经营者和上网用户不得利用互联网上网服务营业场所制作、复制、查阅、发布、传播危害国家安全，损害国家利益和荣誉，破坏民族团结和国家宗教政策，宣扬邪教和迷信，散布谣言，破坏社会稳定，散布淫秽、色情、赌博、暴力、凶杀、恐怖或者教唆犯罪，侮辱或者诽谤他人以及其他法律法规禁止的信息。
"
大连市防震减灾条例,"第十一条 新闻媒体报道与地震预报有关的信息，应当以国务院或者省人民政府发布的地震预报意见为准。 任何单位和个人不得擅自向社会散布地震预测预报意见，不得制造、传播地震谣言。对扰乱社会秩序的地震谣言，市及区（市）县人民政府及地震工作主管部门应当迅速予以澄清。
"
江西省学校学生人身伤害事故预防与处理条例,"第四十条 学生及其监护人、抚养人或者其代理人以及其他相关人员有下列行为之一，经劝阻无效的，学校应当立即向所在地公安机关报案，并保护好现场，配合公安机关做好调查取证等工作：
 （一）侮辱、威胁、恐吓、故意伤害教职工、学生或者非法限制教职工、学生人身自由的；
 （二）围堵学校或者进入学校拉条幅、设灵堂、焚香烧纸、摆花圈、散发传单、喧闹、张贴大字报等聚众闹事的；
 （三）侵占、破坏学校房屋、设施、设备等寻衅滋事行为的；
 （四）在学校等公共场所停尸或者拒不按照规定处理遗体的；
 （五）携带易燃易爆危险物质和管制器具进入学校的；
 （六）制造、散布谣言等其他扰乱学校教学、生活秩序行为的。"
湖南省社会科学普及条例,"第十八条 以社会科学普及为名，从事下列活动的，依法给予处罚：
 （一）散布谣言；
 （二）组织、教唆、胁迫、诱骗、煽动他人从事邪教、会道门、迷信活动；
 （三）发布、传播危害国家安全、扰乱社会秩序以及淫秽、色情、赌博、暴力、恐怖和法律法规禁止的其他信息；
 （四）从事其他危害国家安全、损害社会公共利益或者他人合法权益的活动。"
河北省信访条例(2015修订),"第三十八条 信访人在信访活动中有下列行为之一的，由有关国家机关工作人员劝阻、批评或者教育。… （八）歪曲、捏造事实，散布谣言或者以其他方法扰乱社会公共秩序的；…
"
青海省防震减灾条例,"第二十五条 任何单位和个人不得制造、散布地震谣言。 对扰乱社会秩序的地震谣言，县级以上地震工作主管部门应当会同公安、文化新闻出版和广播电视等部门迅速采取措施，予以澄清，及时向社会发布相关信息。
"
合肥市防震减灾条例,"第十六条 单位或者个人观测到可能与地震有关的异常现象，应当及时向所在地人民政府地震工作主管部门报告，地震工作主管部门应当进行登记、调查、核实，并予以回复。 单位和个人不得制造、传播地震谣言。对扰乱社会秩序的地震谣言，市、县（市）区人民政府应当迅速采取措施并予以澄清。
"
黑龙江省防震减灾条例(2015修正),"第十六条 地震预报意见实行统一发布制度，全省范围内的地震长期、中期、短期预报意见和临震预报意见，由省人民政府根据国家有关规定发布。 任何单位和个人不得散布地震谣言。新闻媒体刊登、播报地震预报消息，应当以国务院或者省人民政府发布的地震预报意见为准。对扰乱社会秩序的地震谣传、误传，县级以上人民政府应当立即采取有效措施予以澄清和制止。
"
唐山市防震减灾条例(2015修订),"第十九条 新闻媒体报道与地震预报有关的信息，应当以国务院或者省人民政府发布的地震预报意见为准。 任何单位和个人不得违反规定擅自向社会散布地震预测预报意见，不得制造、传播地震谣言。对扰乱社会秩序的地震谣言、误传，市、县（市、区）人民政府应当迅速采取措施予以澄清。
"
宁夏回族自治区防震减灾条例(2013修订),"第十三条 地震预报意见和地震信息实行统一发布制度。
 自治区行政区域内的地震预报意见，由自治区人民政府按照国务院规定的程序发布；地震信息由自治区地震工作主管部门发布。
 广播、电视、报刊、网络等媒体刊登、播发地震预报消息，应当以自治区人民政府发布的地震预报意见为准。
 禁止制造、散布和传播地震谣言。发生地震谣传、误传事件时，地震工作主管部门应当立即采取有效措施予以澄清。"
广西壮族自治区实施《中华人民共和国突发事件应对法》办法,"第四十五条 履行统一领导职责或者组织处置突发事件的人民政府，应当按照有关规定及时、准确、客观公布事件进展、政府措施、公众防范措施和调查处理结果，及时回应社会关注热点，对谣言和不实传言应当迅速予以澄清。 任何单位和个人不得编造、传播有关突发事件发生、事态发展或者应急处置工作虚假信息。
"
新疆维吾尔自治区实施《中华人民共和国防震减灾法》办法,"第十七条 地震预报实行统一发布制度。
 地震长期、中期、短期和临震预报，由自治区人民政府发布。
 新闻媒体刊登、播发地震预报消息，应当以自治区人民政府发布的地震预报为准。
 任何单位和个人不得编造、散布地震谣言。"
广东省防震减灾条例(2012年11月29日修订),"第十五条 本省行政区域内的地震预报意见统一由省人民政府发布，任何单位和个人不得向社会散布地震预报意见及其评审结果。
 对社会上出现的地震传言或者谣言，各级人民政府地震工作主管部门应当及时发布正确信息，采取有效措施予以澄清，应急、通信、公安等有关部门应当予以配合。
 新闻媒体应当配合各级人民政府有关部门宣传正确信息。"
西藏自治区实施《中华人民共和国防震减灾法》办法(2012修订),"第三十一条 与地震预报有关的宣传报道，应当严格按照国家和自治区的有关规定执行。任何单位和个人不得编造、散布地震预测意见、地震谣言和地震虚假信息。对扰乱社会秩序的地震谣传、误传，县级以上人民政府应当采取措施，迅速予以澄清。
"
河北省信息化条例,"第五十二条 禁止利用信息网络实施下列行为：
 （一）危害国家安全、损害国家利益和社会公共利益；
 （二）危害信息网络和信息系统安全；
 （三）侵犯知识产权、商业秘密、个人隐私以及公民、法人或者其他组织的合法权益；
 （四）散布谣言，谎报险情、疫情、警情扰乱公共秩序；
 （五）制作、散布淫秽、色情、暴力、恐怖或者教唆犯罪的信息；
 （六）法律、行政法规禁止实施的其他行为。"
内蒙古自治区防震减灾条例(2012修订),"第二十二条 发生地震谣言，扰乱社会正常秩序时，旗县级以上人民政府地震工作主管部门或者机构应当采取措施，迅速予以澄清，新闻等有关部门应当给予配合、协助。
"
安徽省防震减灾条例(2012修订),"第十三条 省人民政府地震工作主管部门负责提出本省行政区域内地震长期、中期、短期和临震预报意见，报省人民政府批准后，由省人民政府统一发布。
 任何单位或者个人不得擅自发布地震预报信息。与地震预报有关的宣传报道，按照国家有关规定执行。
 禁止制造、散布和传播地震谣言。发生地震谣传、误传事件时，当地人民政府应当采取措施，利用广播、电视、互联网、短信等形式，统一、及时、准确地向社会发布相关信息，维护社会稳定。"
广东省防震减灾条例(2012修正),"第十条 省地震工作部门负责提出本行政区域内的破坏性地震的长期、中期、短期、临震预报意见，由省人民政府发布。法律、行政法规另有规定的，从其规定。
 新闻媒体刊登或者播发地震预报消息，应当以国务院或者省人民政府发布的内容为准。
 对社会上出现的地震误传或者谣言，各级人民政府应当及时采取措施，妥善处置。"
四川省防震减灾条例(2012修订),"第二十六条 发生地震谣言地区的县级以上地方人民政府防震减灾工作主管部门或者机构，应当及时予以澄清。
"
云南省防震减灾条例(2011修订),"第五十六条 违反本条例规定，制造、传播地震谣言，扰乱社会正常秩序，违反治安管理相关规定的，依法给予治安管理处罚。
"
天津市防震减灾条例(2011),"第四十五条 制造地震谣言，扰乱社会正常秩序的，依法给予治安管理处罚；构成犯罪的，依法追究刑事责任。
"
江西省人民代表大会常务委员会关于修改《江西省防震减灾条例》的决定(2011),"十、第十六条改为第十八条，其中第二款修改为：“任何单位和个人不得散布有关地震的谣言。对造成或者可能造成社会秩序混乱的有关地震谣言，县级以上人民政府应当迅速采取有效措施及时予以澄清，消除影响。”
"
河南省防震减灾条例,"第二十二条 除发表本人或者本单位关于长期、中期地震活动趋势的研究成果，或者进行相关学术交流外，任何单位和个人不得向社会散布地震预测意见、地震预报意见及其评审结果。新闻媒体刊登、播发地震预报消息，应当以人民政府发布的地震预报意见为准。 任何单位和个人不得制造、散布地震谣言。对地震谣传、误传，县级以上人民政府应当采取措施，迅速予以澄清。
"
辽宁省防震减灾条例,"第十七条 本省行政区域内的预报意见，由省人民政府按照国家规定的程序发布。
 新闻媒体报道与地震预报有关的信息，应当以国务院或者省人民政府发布的地震预报为准。
 任何单位和个人不得制造、传播地震谣言。因地震谣言影响社会正常秩序的，由县以上人民政府或者由其授权地震工作主管部门迅速采取措施予以澄清，其他有关部门和新闻媒体应当予以配合。"
江西省防震减灾条例(2011修正),"第十八条 省人民政府应当依照国家发布地震预报的规定，统一向社会及时发布地震预报。新闻媒体刊登或者播发地震预报消息，应当以国务院、省人民政府发布的地震预报为准。 任何单位和个人不得散布有关地震的谣言。对造成或者可能造成社会秩序混乱的有关地震谣言，县级以上人民政府应当迅速采取有效措施及时予以澄清，消除影响。
"
新疆维吾尔自治区邮政条例,"第二十九条 任何单位和个人不得利用邮件寄递含有下列内容的物品：
 （一）煽动颠覆国家政权、推翻社会主义制度或者分裂国家、破坏国家统一，危害国家安全的；
 （二）泄露国家秘密的；
 （三）散布谣言扰乱社会秩序，破坏社会稳定的；
 （四）煽动民族仇恨、民族歧视，破坏民族团结的；
 （五）宣扬邪教或者迷信的；
 （六）散布淫秽、赌博、恐怖信息或者教唆犯罪的；
 （七）法律、法规禁止的其他内容。"
西藏自治区旅游条例(2010修订),"第四十二条 旅游经营者及其从业人员不得有下列行为：
 （一）散布谣言，损害国家荣誉，扰乱社会秩序和稳定；
 （二）伤害民族感情，破坏民族团结，危害社会公德；
 （三）侵害民族风俗习惯、损害民族文化传统；
 （四）宣扬邪教、迷信；
 （五）纠缠、胁迫、诱骗旅游者购买商品、接受服务；
 （六）向旅游者索取合同约定以外的费用；
 （七）制作、发布虚假旅游信息，对服务范围、内容、标准等作虚假宣传；
 （八）擅自改变旅游合同，增加、减少旅游项目或者中止服务；
 （九）提供质价不符的服务；
 （十）法律、法规规定的其他行为。"
山东省防震减灾条例(2010修订),"第二十五条 禁止制造、散布和传播地震谣言。发生地震谣传、误传事件时，县级以上人民政府地震工作主管部门应当立即采取有效措施予以澄清。 为避免人工爆破造成地震误传事件，一次齐发爆破用药量相当于四吨梯恩梯炸药能量以上的，爆破单位在向公安机关申请办理审批手续的同时，必须向爆破工程所在地人民政府地震工作主管部门书面报告。
"
新疆维吾尔自治区民族团结教育条例,"第十二条 教育行政主管部门应当将民族团结教育内容纳入教育规划，组织编写适用于大中专院校、中小学的民族团结教育教材。加强对教师队伍的民族团结教育培训，明确教师在民族团结教育中的责任，发挥教师在学校民族团结教育中的主导、示范和表率作用。
 学校应当加强学生的民族团结教育工作，并将民族团结教育列入教育教学计划，融入国民教育的全过程，贯穿学生成长成才的各阶段，推动党的民族理论、民族政策和国家法律、法规进课堂、进教材、进头脑。
 幼儿园应当对学前儿童进行适合儿童特点的民族团结教育。
 禁止任何人利用学校讲台、讲坛等阵地散布不利于祖国统一、民族团结、社会稳定的言论；禁止任何人传播危害民族团结、社会和谐、扰乱公众视听的谣言。"
